zm	PCA 1	PCA 2
other_signal	-3.201474964	-0.517592031
other_signal	-3.124686229	-1.13849193
other_signal	-3.458624954	1.702614799
other_signal	-4.26143004	0.236073823
other_signal	-2.066680181	-1.993973772
other_signal	-1.891015446	0.505036859
other_signal	0.067159584	0.955511122
other_signal	-2.488830288	1.37447529
other_signal	-2.930576888	0.850707711
other_signal	-2.635242265	0.539623131
other_signal	-1.979270592	1.692773168
other_signal	-2.412794819	0.237820489
other_signal	-2.026471433	2.697301682
other_signal	-1.658389154	-0.517643835
other_signal	-0.307806448	-0.001791031
other_signal	-1.074959529	-0.58570938
other_signal	-1.230723903	-0.10058236
other_signal	-1.931673567	-0.493343132
other_signal	-2.390949513	0.538054319
other_signal	-1.639014732	-1.473307512
other_signal	-1.379157495	0.742011117
other_signal	-3.075780991	-0.418067308
other_signal	-1.855757398	-0.826266638
other_signal	-1.174993542	-1.050439165
other_signal	-2.232692424	0.472012485
other_signal	-1.704009744	0.663281225
other_signal	-1.71428405	1.027498
other_signal	-2.48204602	-0.557014425
other_signal	-1.194367038	1.688063994
other_signal	-2.895886953	0.724680276
other_signal	-3.067389819	1.443005898
other_signal	-2.296618951	0.421026757
other_signal	-1.560973223	-3.141318861
other_signal	-1.461039512	2.31919093
other_signal	-2.783319892	-0.948236182
other_signal	-0.067624879	-1.718964029
other_signal	-1.719549274	0.70349513
other_signal	0.088011069	-1.361941504
other_signal	-0.733000218	0.099069562
other_signal	-1.63130615	-2.87851631
other_signal	-1.725023413	-1.744010758
other_signal	-1.598557201	-3.163281712
other_signal	-2.461534242	-2.690774537
other_signal	-1.411264427	-2.636702965
other_signal	-1.566875513	-3.155916476
other_signal	-0.943204663	-0.958831573
other_signal	-1.098656985	-2.286602617
other_signal	-1.71003935	-1.683978922
other_signal	-1.577745274	1.39669745
other_signal	-1.542619709	-0.356003828
other_signal	-1.540302212	-0.266633293
other_signal	-2.290209138	-1.032639595
other_signal	-1.248776528	-0.13427741
other_signal	-2.358154626	0.366170766
other_signal	-1.40063136	-1.526923781
other_signal	-2.240142625	-1.94444073
other_signal	-1.093185449	-2.541003581
other_signal	0.32380375	-0.937641981
other_signal	-1.601289668	-1.596229439
other_signal	-3.455202664	-1.926507818
other_signal	-1.84820694	-2.046357163
other_signal	-0.456850083	-2.126078062
other_signal	-1.381094056	-1.671788636
other_signal	-0.849359517	-1.265975431
other_signal	-0.41976759	-1.32753809
other_signal	-3.806714786	-1.042549959
other_signal	-1.338823282	0.943811359
other_signal	-0.833370081	0.987372249
other_signal	-1.504655318	1.069130663
other_signal	-1.095434494	2.661540151
